FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 10000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.007629	94.759369
0.000000	-0.016022	94.727325
0.000000	-0.007629	94.823456
0.000000	0.007629	94.735718
0.000000	-0.007629	94.719696
0.000000	-0.016022	94.711304
0.000000	-0.023651	94.727325
0.000000	-0.007629	94.727325
0.000000	0.007629	94.711304
0.000000	-0.007629	94.735718
0.000000	-0.016022	94.687653
0.000000	-0.007629	94.751740
0.000000	-0.007629	94.711304
0.000000	0.007629	94.735718
0.000000	-0.007629	94.687653
0.000000	-0.007629	94.751740
0.000000	0.000000	94.696045
0.000000	0.000000	94.703674
0.000000	0.000000	94.719696
0.000000	-0.016022	94.807434
0.000000	0.007629	94.647980
0.000000	0.007629	94.615936
0.000000	-0.007629	94.655609
0.000000	-0.007629	94.544220
0.000000	0.007629	94.608307
0.000000	0.016022	94.671631
0.000000	0.000000	94.631958
0.000000	-0.016022	94.615936
0.000000	0.000000	94.687653
0.000000	0.000000	94.664001
0.000000	0.007629	94.703674
0.000000	0.000000	94.703674
0.000000	0.007629	94.711304
0.000000	0.000000	94.647980
0.000000	0.000000	94.727325
0.000000	-0.023651	94.680023
0.000000	-0.007629	94.680023
0.000000	0.007629	94.647980
0.000000	-0.007629	94.664001
0.000000	0.007629	94.671631
0.000000	0.000000	94.671631
0.000000	0.007629	94.664001
0.000000	-0.007629	94.680023
0.000000	0.000000	94.631958
0.000000	0.000000	94.655609
0.000000	-0.007629	94.680023
0.000000	0.000000	94.631958
0.000000	0.000000	94.639587
0.000000	0.007629	94.671631
0.000000	0.007629	94.631958
0.000000	0.000000	94.655609
0.000000	-0.007629	94.599915
0.000000	0.000000	94.615936
0.000000	-0.007629	94.536591
0.000000	0.023651	94.592285
0.000000	-0.007629	94.568634
0.000000	0.000000	94.496918
0.000000	0.007629	94.568634
0.000000	-0.016022	94.520569
0.000000	0.000000	94.544220
0.000000	-0.007629	94.536591
0.000000	0.000000	94.599915
0.000000	0.016022	94.520569
0.000000	0.000000	94.583893
0.000000	0.000000	94.639587
0.000000	-0.007629	94.655609
0.000000	-0.007629	94.743347
0.000000	-0.016022	94.680023
0.000000	-0.007629	94.775391
0.000000	-0.007629	94.687653
0.000000	-0.007629	94.759369
0.000000	0.000000	94.719696
0.000000	-0.007629	94.791412
0.000000	-0.007629	94.847107
0.000000	0.007629	94.870758
0.000000	-0.016022	94.854736
0.000000	-0.016022	94.863129
0.000000	0.000000	94.902802
0.000000	-0.007629	94.879150
0.000000	-0.007629	94.990540
0.000000	-0.007629	94.958496
0.000000	-0.007629	95.014191
0.000000	-0.007629	94.998169
0.000000	0.000000	95.022583
0.000000	-0.007629	95.014191
0.000000	-0.007629	95.062256
0.000000	-0.007629	95.046234
0.000000	-0.007629	95.037842
0.000000	-0.007629	94.966125
0.000000	-0.016022	94.918823
0.000000	0.000000	94.974518
0.000000	0.000000	94.966125
0.000000	0.000000	94.958496
0.000000	-0.023651	94.998169
0.000000	-0.007629	94.974518
0.000000	-0.016022	94.902802
0.000000	-0.007629	94.910431
0.000000	0.000000	94.902802
0.000000	-0.007629	94.902802
0.000000	0.007629	94.902802
0.000000	0.000000	94.926453
0.000000	-0.023651	94.886780
0.000000	-0.007629	94.870758
0.000000	-0.007629	94.879150
0.000000	-0.007629	94.895172
0.000000	-0.007629	94.918823
0.000000	0.000000	94.918823
0.000000	-0.007629	94.870758
0.000000	0.000000	94.815063
0.000000	-0.007629	94.823456
0.000000	-0.007629	94.863129
0.000000	-0.007629	94.863129
0.000000	0.000000	94.854736
0.000000	-0.007629	94.870758
0.000000	0.000000	94.870758
0.000000	0.000000	94.791412
0.000000	-0.023651	94.799042
0.000000	0.000000	94.838715
0.000000	-0.016022	94.838715
0.000000	-0.016022	94.823456
0.000000	-0.007629	94.863129
0.000000	-0.023651	94.791412
0.000000	-0.007629	94.775391
0.000000	0.000000	94.815063
0.000000	-0.007629	94.870758
0.000000	-0.016022	94.854736
0.000000	-0.007629	94.886780
0.000000	-0.007629	94.838715
0.000000	-0.007629	94.759369
0.000000	-0.007629	94.783020
0.000000	0.000000	94.847107
0.000000	-0.007629	94.831085
0.000000	0.000000	94.854736
0.000000	-0.007629	94.766998
0.000000	-0.007629	94.766998
0.000000	-0.007629	94.680023
0.000000	0.007629	94.719696
0.000000	0.000000	94.711304
0.000000	-0.007629	94.759369
0.000000	0.007629	94.799042
0.000000	0.000000	94.799042
0.000000	-0.007629	94.759369
0.000000	-0.016022	94.687653
0.000000	-0.007629	94.799042
0.000000	-0.007629	94.775391
0.000000	0.000000	94.847107
0.000000	0.007629	94.807434
0.000000	0.000000	94.823456
0.000000	0.000000	94.719696
0.000000	0.000000	94.743347
0.000000	-0.007629	94.791412
0.000000	-0.007629	94.799042
0.000000	0.007629	94.791412
0.000000	0.000000	94.807434
0.000000	-0.007629	94.775391
0.000000	-0.007629	94.639587
0.000000	0.000000	94.735718
0.000000	0.007629	94.735718
0.000000	0.000000	94.711304
0.000000	-0.007629	94.727325
0.000000	0.000000	94.671631
0.000000	-0.016022	94.647980
0.000000	0.007629	94.647980
0.000000	0.000000	94.696045
0.000000	0.007629	94.696045
0.000000	-0.007629	94.751740
0.000000	0.000000	94.703674
0.000000	-0.016022	94.711304
0.000000	-0.007629	94.639587
0.000000	-0.007629	94.655609
0.000000	-0.016022	94.743347
0.000000	-0.007629	94.743347
0.000000	0.007629	94.751740
0.000000	0.007629	94.743347
0.000000	-0.007629	94.696045
0.000000	-0.007629	94.647980
0.000000	0.007629	94.696045
0.000000	0.000000	94.743347
0.000000	0.000000	94.735718
0.000000	-0.007629	94.766998
0.000000	-0.016022	94.719696
0.000000	-0.007629	94.751740
0.000000	-0.007629	94.703674
0.000000	-0.007629	94.775391
0.000000	-0.007629	94.783020
0.000000	0.007629	94.775391
0.000000	-0.016022	94.807434
0.000000	-0.016022	94.727325
0.000000	-0.016022	94.751740
0.000000	-0.007629	94.751740
0.000000	-0.016022	94.847107
0.000000	0.000000	94.895172
0.000000	0.007629	94.910431
0.000000	0.000000	94.863129
0.000000	-0.023651	94.831085
0.000000	-0.007629	94.847107
0.000000	-0.007629	94.847107
0.000000	-0.007629	94.863129
0.000000	-0.007629	94.895172
0.000000	0.007629	94.895172
0.000000	-0.016022	94.799042
0.000000	0.007629	94.886780
0.000000	0.000000	94.823456
0.000000	0.000000	94.823456
0.000000	0.000000	94.847107
0.000000	0.007629	94.918823
0.000000	0.023651	94.847107
0.000000	0.000000	94.895172
0.000000	0.000000	94.807434
0.000000	-0.007629	94.799042
0.000000	0.000000	94.791412
0.000000	-0.007629	94.775391
0.000000	-0.007629	94.735718
0.000000	0.007629	94.696045
0.000000	0.000000	94.608307
0.000000	0.016022	94.599915
0.000000	0.023651	94.664001
0.000000	0.016022	94.671631
0.000000	-0.007629	94.687653
0.000000	0.007629	94.615936
0.000000	0.000000	94.592285
0.000000	0.007629	94.536591
0.000000	0.016022	94.560242
0.000000	0.007629	94.552612
0.000000	0.000000	94.528198
0.000000	-0.007629	94.568634
0.000000	0.000000	94.544220
0.000000	0.007629	94.560242
0.000000	0.000000	94.520569
0.000000	0.000000	94.576263
0.000000	0.000000	94.496918
0.000000	0.007629	94.568634
0.000000	-0.007629	94.504547
0.000000	0.000000	94.528198
0.000000	0.023651	94.520569
0.000000	-0.007629	94.512177
0.000000	0.000000	94.615936
0.000000	0.000000	94.583893
0.000000	0.000000	94.576263
0.000000	-0.007629	94.615936
0.000000	-0.016022	94.615936
0.000000	0.000000	94.544220
0.000000	-0.007629	94.583893
0.000000	0.000000	94.608307
0.000000	0.000000	94.639587
0.000000	-0.007629	94.576263
0.000000	-0.007629	94.631958
0.000000	-0.023651	94.615936
0.000000	-0.007629	94.608307
0.000000	-0.007629	94.647980
0.000000	-0.023651	94.696045
0.000000	-0.016022	94.664001
0.000000	-0.007629	94.711304
0.000000	-0.023651	94.735718
0.000000	-0.016022	94.711304
0.000000	-0.023651	94.711304
0.000000	-0.007629	94.775391
0.000000	-0.023651	94.743347
0.000000	-0.007629	94.775391
0.000000	-0.016022	94.783020
0.000000	-0.031281	94.791412
0.000000	-0.023651	94.766998
0.000000	-0.007629	94.831085
0.000000	-0.016022	94.799042
0.000000	-0.016022	94.815063
0.000000	-0.016022	94.823456
0.000000	-0.023651	94.823456
0.000000	-0.016022	94.847107
0.000000	-0.023651	94.766998
0.000000	0.000000	94.847107
0.000000	-0.016022	94.870758
0.000000	0.007629	94.895172
0.000000	-0.016022	94.831085
0.000000	0.000000	94.926453
0.000000	0.000000	94.886780
0.000000	0.000000	94.838715
0.000000	-0.007629	94.934845
0.000000	-0.007629	94.918823
0.000000	0.000000	94.902802
0.000000	-0.007629	94.910431
0.000000	-0.007629	94.870758
0.000000	0.000000	94.759369
0.000000	-0.007629	94.815063
0.000000	0.007629	94.791412
0.000000	-0.007629	94.791412
0.000000	0.000000	94.807434
0.000000	-0.007629	94.886780
0.000000	-0.007629	94.766998
0.000000	0.016022	94.775391
0.000000	0.000000	94.807434
0.000000	0.000000	94.743347
0.000000	0.007629	94.791412
0.000000	0.016022	94.766998
0.000000	0.007629	94.751740
0.000000	0.007629	94.711304
0.000000	0.007629	94.711304
0.000000	0.016022	94.655609
0.000000	0.016022	94.743347
0.000000	0.007629	94.719696
0.000000	0.007629	94.735718
0.000000	0.000000	94.647980
0.000000	0.000000	94.655609
0.000000	-0.016022	94.631958
0.000000	0.007629	94.696045
0.000000	0.000000	94.696045
0.000000	0.007629	94.719696
0.000000	0.007629	94.719696
0.000000	-0.016022	94.647980
0.000000	-0.007629	94.696045
0.000000	-0.016022	94.680023
0.000000	-0.007629	94.696045
0.000000	-0.007629	94.719696
0.000000	0.000000	94.743347
0.000000	0.000000	94.639587
0.000000	-0.023651	94.639587
0.000000	0.000000	94.647980
0.000000	-0.007629	94.647980
0.000000	-0.016022	94.655609
0.000000	-0.007629	94.719696
0.000000	-0.016022	94.711304
0.000000	-0.007629	94.608307
0.000000	-0.007629	94.624329
0.000000	-0.016022	94.664001
0.000000	-0.007629	94.599915
0.000000	-0.007629	94.680023
0.000000	0.000000	94.664001
0.000000	-0.031281	94.624329
0.000000	0.000000	94.608307
0.000000	-0.007629	94.639587
0.000000	-0.016022	94.639587
0.000000	0.000000	94.719696
0.000000	-0.023651	94.783020
0.000000	-0.016022	94.711304
0.000000	0.000000	94.743347
0.000000	-0.007629	94.711304
0.000000	-0.023651	94.783020
0.000000	0.000000	94.807434
0.000000	-0.007629	94.902802
0.000000	-0.016022	94.886780
0.000000	-0.016022	94.895172
0.000000	-0.023651	94.847107
0.000000	0.000000	94.863129
0.000000	-0.007629	94.886780
0.000000	-0.016022	94.870758
0.000000	0.000000	94.910431
0.000000	0.000000	94.910431
0.000000	-0.023651	94.895172
0.000000	-0.023651	94.775391
0.000000	0.016022	94.895172
0.000000	-0.023651	94.863129
0.000000	0.000000	94.879150
0.000000	0.000000	94.886780
0.000000	0.007629	94.847107
0.000000	-0.016022	94.815063
0.000000	-0.007629	94.823456
0.000000	0.007629	94.870758
0.000000	0.000000	94.854736
0.000000	0.000000	94.863129
0.000000	-0.007629	94.831085
0.000000	0.023651	94.838715
0.000000	-0.007629	94.743347
0.000000	-0.007629	94.799042
0.000000	0.000000	94.823456
0.000000	-0.007629	94.807434
0.000000	-0.007629	94.831085
0.000000	-0.007629	94.831085
0.000000	0.007629	94.815063
0.000000	0.000000	94.696045
0.000000	-0.016022	94.766998
0.000000	0.007629	94.759369
0.000000	0.007629	94.766998
0.000000	0.000000	94.759369
0.000000	0.000000	94.743347
0.000000	0.000000	94.664001
0.000000	0.007629	94.647980
0.000000	0.007629	94.743347
0.000000	0.000000	94.687653
0.000000	0.007629	94.703674
0.000000	0.000000	94.735718
0.000000	0.007629	94.631958
0.000000	0.000000	94.583893
0.000000	0.000000	94.647980
0.000000	0.000000	94.703674
0.000000	-0.007629	94.655609
0.000000	0.000000	94.680023
0.000000	0.000000	94.719696
0.000000	0.007629	94.680023
0.000000	0.000000	94.751740
0.000000	0.007629	94.799042
0.000000	0.016022	94.870758
0.000000	0.000000	94.886780
0.000000	-0.007629	94.926453
0.000000	-0.007629	94.918823
0.000000	-0.007629	94.902802
0.000000	-0.007629	94.934845
0.000000	-0.007629	94.990540
0.000000	0.007629	95.014191
0.000000	0.000000	95.078278
0.000000	-0.007629	95.037842
0.000000	-0.016022	94.966125
0.000000	-0.007629	94.942474
0.000000	-0.023651	94.934845
0.000000	-0.007629	94.934845
0.000000	-0.007629	94.926453
0.000000	-0.007629	94.886780
0.000000	-0.007629	94.879150
0.000000	-0.007629	94.879150
0.000000	-0.007629	94.815063
0.000000	-0.023651	94.958496
0.000000	-0.007629	94.910431
0.000000	-0.007629	94.910431
0.000000	0.000000	94.863129
0.000000	-0.007629	94.854736
0.000000	-0.007629	94.799042
0.000000	-0.016022	94.838715
0.000000	-0.016022	94.807434
0.000000	0.000000	94.831085
0.000000	-0.016022	94.831085
0.000000	0.000000	94.775391
0.000000	-0.016022	94.854736
0.000000	-0.023651	94.751740
0.000000	-0.016022	94.775391
0.000000	-0.016022	94.799042
0.000000	0.000000	94.831085
0.000000	0.000000	94.799042
0.000000	0.000000	94.791412
0.000000	-0.016022	94.838715
0.000000	-0.016022	94.743347
0.000000	-0.016022	94.799042
0.000000	0.000000	94.838715
0.000000	0.000000	94.807434
0.000000	-0.007629	94.719696
0.000000	-0.016022	94.799042
0.000000	0.000000	94.759369
0.000000	-0.007629	94.783020
0.000000	-0.007629	94.783020
0.000000	-0.016022	94.823456
0.000000	-0.023651	94.807434
0.000000	0.000000	94.791412
0.000000	0.000000	94.854736
0.000000	0.007629	94.791412
0.000000	0.000000	94.831085
0.000000	0.000000	94.791412
0.000000	0.007629	94.838715
0.000000	0.000000	94.854736
0.000000	-0.007629	94.847107
0.000000	0.000000	94.847107
0.000000	-0.007629	94.854736
0.000000	0.007629	94.895172
0.000000	0.000000	94.863129
0.000000	0.000000	94.902802
0.000000	0.000000	94.895172
0.000000	0.007629	94.950867
0.000000	0.000000	94.974518
0.000000	0.000000	94.982147
0.000000	-0.016022	94.942474
0.000000	0.000000	94.942474
0.000000	0.016022	94.958496
0.000000	0.007629	94.950867
0.000000	0.000000	94.950867
0.000000	-0.007629	94.918823
0.000000	0.016022	94.918823
0.000000	0.007629	94.902802
0.000000	0.007629	94.879150
0.000000	-0.007629	94.854736
0.000000	-0.007629	94.831085
0.000000	0.000000	94.815063
0.000000	-0.007629	94.831085
0.000000	0.007629	94.831085
0.000000	-0.007629	94.823456
0.000000	0.000000	94.823456
0.000000	-0.007629	94.863129
0.000000	-0.007629	94.807434
0.000000	-0.007629	94.807434
0.000000	0.007629	94.831085
0.000000	-0.007629	94.766998
0.000000	-0.007629	94.815063
0.000000	-0.007629	94.815063
0.000000	-0.007629	94.799042
0.000000	-0.007629	94.680023
0.000000	-0.007629	94.775391
0.000000	-0.007629	94.759369
0.000000	-0.007629	94.703674
0.000000	0.007629	94.766998
0.000000	-0.016022	94.775391
0.000000	-0.007629	94.766998
0.000000	0.000000	94.680023
0.000000	-0.016022	94.807434
0.000000	-0.007629	94.783020
0.000000	-0.016022	94.791412
0.000000	-0.007629	94.831085
0.000000	-0.023651	94.783020
0.000000	-0.007629	94.775391
0.000000	0.000000	94.807434
0.000000	-0.016022	94.838715
0.000000	-0.023651	94.815063
0.000000	-0.016022	94.863129
0.000000	-0.007629	94.863129
0.000000	-0.016022	94.847107
0.000000	-0.023651	94.783020
0.000000	-0.016022	94.870758
0.000000	-0.016022	94.879150
0.000000	-0.007629	94.879150
0.000000	-0.023651	94.910431
0.000000	-0.016022	94.934845
0.000000	-0.016022	94.902802
0.000000	-0.007629	94.863129
0.000000	-0.016022	94.918823
0.000000	-0.007629	94.902802
0.000000	-0.007629	94.934845
0.000000	-0.007629	94.895172
0.000000	0.000000	94.950867
0.000000	-0.007629	94.847107
0.000000	-0.007629	94.838715
0.000000	-0.007629	94.854736
0.000000	0.007629	94.886780
0.000000	0.000000	94.902802
0.000000	-0.007629	94.918823
0.000000	-0.007629	94.838715
0.000000	0.007629	94.838715
0.000000	-0.007629	94.838715
0.000000	0.007629	94.838715
0.000000	-0.007629	94.895172
0.000000	0.007629	94.831085
0.000000	0.000000	94.895172
0.000000	-0.007629	94.743347
0.000000	-0.007629	94.807434
0.000000	-0.007629	94.791412
0.000000	-0.007629	94.799042
0.000000	0.016022	94.831085
0.000000	-0.016022	94.879150
0.000000	-0.007629	94.831085
0.000000	-0.007629	94.743347
0.000000	-0.016022	94.751740
0.000000	-0.016022	94.775391
0.000000	-0.007629	94.807434
0.000000	0.000000	94.783020
0.000000	0.007629	94.831085
0.000000	0.007629	94.815063
0.000000	-0.007629	94.743347
0.000000	-0.007629	94.783020
0.000000	-0.007629	94.783020
0.000000	0.000000	94.719696
0.000000	0.000000	94.751740
0.000000	0.007629	94.775391
0.000000	0.000000	94.664001
0.000000	0.007629	94.727325
0.000000	-0.007629	94.735718
0.000000	0.000000	94.735718
0.000000	-0.007629	94.775391
0.000000	0.000000	94.807434
0.000000	-0.007629	94.743347
0.000000	0.000000	94.711304
0.000000	0.000000	94.696045
0.000000	0.007629	94.727325
0.000000	0.000000	94.751740
0.000000	0.007629	94.759369
0.000000	-0.007629	94.743347
0.000000	-0.007629	94.687653
0.000000	-0.007629	94.671631
0.000000	0.007629	94.735718
0.000000	0.007629	94.727325
0.000000	0.000000	94.751740
0.000000	-0.007629	94.696045
0.000000	0.000000	94.711304
0.000000	0.000000	94.655609
0.000000	-0.007629	94.680023
0.000000	-0.007629	94.719696
0.000000	-0.007629	94.735718
0.000000	-0.007629	94.775391
0.000000	0.000000	94.766998
0.000000	-0.007629	94.791412
0.000000	0.000000	94.727325
0.000000	-0.016022	94.863129
0.000000	-0.007629	94.791412
0.000000	-0.016022	94.863129
0.000000	-0.016022	94.823456
0.000000	-0.016022	94.879150
0.000000	-0.007629	94.831085
0.000000	-0.007629	94.863129
0.000000	-0.016022	94.895172
0.000000	-0.007629	94.838715
0.000000	-0.023651	94.879150
0.000000	-0.023651	94.863129
0.000000	-0.007629	94.831085
0.000000	0.000000	94.783020
0.000000	0.000000	94.815063
0.000000	-0.023651	94.847107
0.000000	0.000000	94.863129
0.000000	-0.007629	94.910431
0.000000	-0.016022	94.863129
0.000000	-0.007629	94.823456
0.000000	-0.016022	94.791412
0.000000	-0.016022	94.823456
0.000000	-0.016022	94.783020
0.000000	-0.007629	94.854736
0.000000	0.000000	94.799042
0.000000	-0.007629	94.799042
0.000000	-0.007629	94.727325
0.000000	-0.007629	94.807434
0.000000	0.007629	94.823456
0.000000	-0.007629	94.815063
0.000000	0.000000	94.863129
0.000000	-0.016022	94.854736
0.000000	0.007629	94.823456
0.000000	-0.007629	94.735718
0.000000	0.000000	94.863129
0.000000	-0.007629	94.863129
0.000000	-0.007629	94.854736
0.000000	0.000000	94.854736
0.000000	-0.023651	94.815063
0.000000	-0.007629	94.727325
0.000000	0.000000	94.791412
0.000000	0.000000	94.831085
0.000000	0.000000	94.854736
0.000000	0.007629	94.831085
0.000000	0.000000	94.823456
0.000000	0.000000	94.703674
0.000000	-0.007629	94.759369
0.000000	-0.007629	94.766998
0.000000	-0.007629	94.799042
0.000000	0.007629	94.799042
0.000000	0.007629	94.838715
0.000000	0.000000	94.775391
0.000000	0.000000	94.743347
0.000000	0.000000	94.751740
0.000000	0.007629	94.807434
0.000000	0.007629	94.831085
0.000000	0.000000	94.823456
0.000000	0.000000	94.766998
0.000000	0.007629	94.783020
0.000000	0.007629	94.759369
0.000000	0.000000	94.735718
0.000000	-0.007629	94.766998
0.000000	0.000000	94.759369
0.000000	-0.007629	94.727325
0.000000	0.007629	94.727325
0.000000	0.007629	94.711304
0.000000	0.000000	94.680023
0.000000	-0.007629	94.711304
0.000000	0.000000	94.696045
0.000000	0.007629	94.743347
0.000000	0.000000	94.743347
0.000000	0.007629	94.727325
0.000000	0.007629	94.711304
0.000000	0.007629	94.664001
0.000000	-0.016022	94.719696
0.000000	-0.007629	94.719696
0.000000	0.000000	94.719696
0.000000	-0.007629	94.631958
0.000000	-0.007629	94.647980
0.000000	-0.007629	94.647980
0.000000	0.000000	94.671631
0.000000	-0.016022	94.711304
0.000000	-0.007629	94.719696
0.000000	-0.007629	94.719696
0.000000	-0.023651	94.615936
0.000000	-0.016022	94.687653
0.000000	-0.023651	94.671631
0.000000	-0.007629	94.647980
0.000000	-0.007629	94.647980
0.000000	-0.016022	94.671631
0.000000	-0.016022	94.655609
0.000000	-0.023651	94.687653
0.000000	-0.023651	94.727325
0.000000	-0.007629	94.727325
0.000000	-0.007629	94.783020
0.000000	-0.016022	94.783020
0.000000	-0.023651	94.791412
0.000000	-0.023651	94.751740
0.000000	-0.016022	94.791412
0.000000	-0.016022	94.759369
0.000000	-0.023651	94.759369
0.000000	-0.007629	94.799042
0.000000	-0.023651	94.847107
0.000000	-0.016022	94.759369
0.000000	-0.023651	94.799042
0.000000	-0.007629	94.759369
0.000000	-0.016022	94.766998
0.000000	-0.016022	94.815063
0.000000	-0.016022	94.807434
0.000000	-0.007629	94.838715
0.000000	0.000000	94.815063
0.000000	-0.016022	94.847107
0.000000	-0.023651	94.854736
